20,931.6246626721712,0,0
19,931.5247083511712,0,0
33,922.9754733641712,0,0
30,922.9411687991711,0,0
31,922.7373042621712,0,0
62,916.9749829641712,0,0
100,909.7878143331711,0,0
106,909.3899598991711,0,0
113,908.5337952761712,0,0
118,907.7164346721712,0,0
126,907.2899641371712,1,0
123,906.1630358151712,0,0
128,904.3624085521712,0,0
133,901.6806544841712,1,0
139,897.9983682821712,0,0
145,894.6174360301711,0,0
155,893.1986093351711,1,0
151,891.3452456221712,0,0
165,885.5357668491712,1,0
161,884.7532430671712,0,0
162,884.2704425591712,0,0
174,879.8849655841711,1,0
183,867.0281523351712,1,0
182,865.0686739751711,0,0
184,862.0248082261712,0,0
191,854.9565278621712,0,0
211,827.8977155121711,0,0
217,826.6989695091712,1,0
218,820.0034984021711,0,0
233,797.0755172921712,0,0
237,795.2350403911712,1,0
235,794.6655612421712,0,0
238,791.5632327841712,0,0
240,784.5187179941712,0,0
241,782.8059055841711,0,0
244,778.3638079591713,1,0
247,775.8464689591713,1,0
245,774.3577120351712,0,0
251,765.6310052821711,0,0
252,765.0139760871712,0,0
253,761.3134617861712,0,0
254,759.9821668661712,0,0
255,752.1684869681712,0,0
260,746.5172742361713,1,0
263,734.3809965301712,0,0
264,728.8868004331712,0,0
265,726.3533471721712,1,0
268,721.2176164341712,0,0
274,719.4475605231712,1,0
271,717.2629584591712,0,0
276,706.7964425711712,0,0
277,702.3651142171711,0,0
279,699.6040799391711,0,0
281,695.8167473091712,0,0
282,695.1610046881711,0,0
285,687.4364985391712,0,0
287,685.8613875501711,0,0
291,680.8487840541711,0,0
293,679.5773409351712,0,0
292,679.4842414881712,0,0
295,677.9400227261712,0,0
299,670.5957657631711,0,0
302,662.3112738371711,0,0
304,657.4633684871711,0,0
313,643.9588753981711,0,0
315,642.4542155971712,0,0
318,636.3678731931711,0,0
322,634.2456708361711,0,0
325,631.1119971871711,0,0
332,625.2223020751712,0,0
336,612.6776120471711,0,0
339,607.1667770281712,0,0
344,592.7329805351712,0,0
347,587.1881429291711,0,0
352,585.1563222281711,0,0
350,585.0772647011711,0,0
351,585.0646722691712,0,0
349,585.0629510011711,0,0
354,574.1004986141711,0,0
357,570.9034098371712,0,0
358,569.4721907941712,0,0
361,566.9110651581711,0,0
367,561.9918139911712,1,0
371,558.1800099391712,0,0
372,557.8023879511711,0,0
373,556.7140333661712,0,0
374,556.7125234821713,0,0
379,553.8229376801712,0,0
390,521.7210221771711,0,0
392,521.7201162471712,0,0
391,521.7153148161713,0,0
399,494.0071617531712,0,0
408,479.92842958117114,0,0
409,477.85436232517117,0,0
412,469.64282799417117,0,0
421,455.33762452217115,1,0
428,444.0071832071711,1,0
431,438.80184681717117,0,0
435,433.51314593217114,0,0
439,426.88976798717124,0,0
442,426.8523945601712,1,0
440,424.76977006017125,0,0
441,424.30804753317125,0,0
451,411.0686296791712,0,0
454,409.35291829217124,0,0
